;|id;|numero;|if;|else;|while;|def;|break;|continue;|True;|False;|return;|+;|-;|/;|*;|>;|<;|<=;|>=;|==;|=;|,;|(;|);|{;|};|!=;|newline;|funcID;|e
STATE;3;10;1;;2;4;7;8;;;6;;;;;;;;;;;;;;;11;;9;5;11
IF;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;
WHILE;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;
ATRIBUICAO;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEF;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;
FUNCCALL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;
RETORNO;;;;;;;;;;;18;;;;;;;;;;;;;;;;;;;
ELSE;;;;13;;;;;;;;;;;;;;;;;;;;;;;;15;;15
VALORES;19;22;;;;;;;20;21;;;;;;;;;;;;;;;;;;;;
PARAMETROS;23;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;24
VIRGULA;;;;;;;;;;;;;;;;;;;;;;25;;26;;;;;;26
EXPRESSAO_ARITMETICA;28;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
OPERACOES_ARITMETICAS ;;;;;;;;;;;;30;31;33;32;34;34;34;34;34;;;;34;;;34;34;34;34
EXPRESSAO_LOGICA;37;37;;;;;;;35;36;;;;;;;;;;;;;;;;;;;;
OPERADOR_LOGICO ;;;;;;;;;;;;;;;;39;40;42;41;38;;;;;;;43;;;
NEWLINES;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;;
NEWLINE_SEQ;46;46;46;;46;46;46;46;;;46;;;;;;;;;;;;;;;46;;45;46;46
